最近はまっていることなどはありますか？	朝ドラでしょうか。
まだフリック入力がままならない感じで。通話の契約はしていないのでFree-Wi-fiがないとなにもできないんですけど。	フリックは慣れるまでが壁ですね。慣れるとケータイの入力より早くできると思います。ご自宅にWi-Fiが通ればいいですね。
フリックは慣れるまでが壁ですね。慣れるとケータイの入力より早くできると思います。ご自宅にWi-Fiが通ればいいですね。	あ、自宅にはWi-fiあります。外でなかなかつながらないなと。スマホ歴長いんですか？
あ、自宅にはWi-fiあります。外でなかなかつながらないなと。スマホ歴長いんですか？	失礼しました。確かに外では4Gがないとなかなか通信できないですね。スマホ歴は大体10年くらいになります。
失礼しました。確かに外では4Gがないとなかなか通信できないですね。スマホ歴は大体10年くらいになります。	プロですね。ガラケーだと月々1000円くらいなのでなかなか踏み切れず。コンビニでクーポンの画像を表示すると、指で拡大しようとする店員がいて恥ずかしかった。
プロですね。ガラケーだと月々1000円くらいなのでなかなか踏み切れず。コンビニでクーポンの画像を表示すると、指で拡大しようとする店員がいて恥ずかしかった。	やはり値段がネックですよね。私はちょうど携帯の発展と共に育ってきたのでわかりますが、若い店員さんだとスマホ以外知らないんでしょうね。
やはり値段がネックですよね。私はちょうど携帯の発展と共に育ってきたのでわかりますが、若い店員さんだとスマホ以外知らないんでしょうね。	そうみたいですね。留学生なんかもしらないみたい。コンビニに外国人の店員多いし。
そうみたいですね。留学生なんかもしらないみたい。コンビニに外国人の店員多いし。	最近コンビニの店員さんは日本人を見ることのほうが少なくなってきましたね。都心だと特に、です。
最近コンビニの店員さんは日本人を見ることのほうが少なくなってきましたね。都心だと特に、です。	うちの近所も外国人ばかりのローソンがあります。ホットミルクを注文するとホットミルクティーって言ってました。そこは海外でも同じはずだけど。。
うちの近所も外国人ばかりのローソンがあります。ホットミルクを注文するとホットミルクティーって言ってました。そこは海外でも同じはずだけど。。	それは災難ですね。たまに本気で意思疎通できない人がいるときがありますね。飲食店とかだと困ります。
それは災難ですね。たまに本気で意思疎通できない人がいるときがありますね。飲食店とかだと困ります。	レジ打ちで最初から最後まで無言の店員もいましたが、祖国ではすごくできる人なんでしょうね。
こんばんは。最近、一気に寒くなってきましたね。	そうですね。今体調を崩していて喉が痛いです。
そうですね。今体調を崩していて喉が痛いです。	それは大変ですね。病院には行きましたか？
それは大変ですね。病院には行きましたか？	いえ、熱はないので、家で温かくして様子見です。体調はいかがですか？
いえ、熱はないので、家で温かくして様子見です。体調はいかがですか？	私はどこも悪くなくて、元気に過ごしています。
私はどこも悪くなくて、元気に過ごしています。	いいですね、元気が一番です。
いいですね、元気が一番です。	そうですね、健康が一番です。喉が痛いと喋れなくて大変ですから。
そうですね、健康が一番です。喉が痛いと喋れなくて大変ですから。	なるべく喋らないようにと思っていますが、どうしても子どもが帰ってくると喋らなきゃいけないです。
なるべく喋らないようにと思っていますが、どうしても子どもが帰ってくると喋らなきゃいけないです。	それは喋らないといけませんね。お子さんは風邪引いてないですか？
それは喋らないといけませんね。お子さんは風邪引いてないですか？	子どもも風邪気味です。この時期は次から次へともらってきてしまうので。
子どもも風邪気味です。この時期は次から次へともらってきてしまうので。	私の家もそうでした。風邪の季節はどこのお家も大変ですね。
私の家もそうでした。風邪の季節はどこのお家も大変ですね。	これからインフルエンザも流行ってくる時期なので今から心配です。
これからインフルエンザも流行ってくる時期なので今から心配です。	予防接種はもう受けましたか？
予防接種はもう受けましたか？	我が家は受けない方針なんです。
我が家は受けない方針なんです。	そうなんですね。インフルエンザはとても辛いので、罹らないといいですね。
そうなんですね。インフルエンザはとても辛いので、罹らないといいですね。	受けていた時もあったのですが、意外と受けない年の方がかからないので、現在実験中です。
受けていた時もあったのですが、意外と受けない年の方がかからないので、現在実験中です。	なるほど。せっかく病院に行っても意味がなかったということですか？
なるほど。せっかく病院に行っても意味がなかったということですか？	予防接種を受けた時の方がかかっていました。あくまで我が家の場合ですが。
普段休日はなにをされてるんですか？	１日は掃除や洗濯で半日潰れますが、あとは友達と飲みやランチに出かけたり。家にいるときは今はゲームしたりしています。
１日は掃除や洗濯で半日潰れますが、あとは友達と飲みやランチに出かけたり。家にいるときは今はゲームしたりしています。	ゲームは何をされているですか？
ゲームは何をされているですか？	ドラクエ１１です。スイッチで発売されたので。
ドラクエ１１です。スイッチで発売されたので。	面白いと評判ですよね。実際どうなんですか？
面白いと評判ですよね。実際どうなんですか？	うーん、昔ほど面白く感じなくなりました。同じように感じる人もいるみたいで、その理由に納得しましたよ。
うーん、昔ほど面白く感じなくなりました。同じように感じる人もいるみたいで、その理由に納得しましたよ。	今までと似たような内容とかですか？
今までと似たような内容とかですか？	内容というより、ゲームのシステムというか。昔よりも考えなくても進められるようになっているようです。
内容というより、ゲームのシステムというか。昔よりも考えなくても進められるようになっているようです。	プレイヤーの年齢層が低い方の考慮されてるんですかね？
プレイヤーの年齢層が低い方の考慮されてるんですかね？	それもあるかもしれませんね。あなたは、ゲームはあまりしませんか？
それもあるかもしれませんね。あなたは、ゲームはあまりしませんか？	今、知り合いに誘われてスイッチを購入を考えています。何か面白いものありますか？
今、知り合いに誘われてスイッチを購入を考えています。何か面白いものありますか？	ゼルダは面白かったですよ。あと、私はフィットボクシングやってます。
ゼルダは面白かったですよ。あと、私はフィットボクシングやってます。	ゼルダは友達も勧めてくれました。オープンワールド的な内容のものですよね？
ゼルダは友達も勧めてくれました。オープンワールド的な内容のものですよね？	最初はつまらなく感じますが、地図が広がるあたりから面白くなりますよ。スイッチはみんなでもできるので、面白いですね。
最初はつまらなく感じますが、地図が広がるあたりから面白くなりますよ。スイッチはみんなでもできるので、面白いですね。	みんなでワイワイしながらの方が楽しいですよね。ゲームをモンハンからはまったのであの感覚が懐かしいです。
みんなでワイワイしながらの方が楽しいですよね。ゲームをモンハンからはまったのであの感覚が懐かしいです。	モンハンはやったことがないですね。どちらかというとPS派ですか？
モンハンはやったことがないですね。どちらかというとPS派ですか？	据え置きタイプはそうですね。任天堂は64以来です。
据え置きタイプはそうですね。任天堂は64以来です。	だいぶ昔ですね。でもまあ、持っていれば何かしらやるかと思います。
旅行はよく行きますか？	いいえ。旅行はほとんど行かないんです。
いいえ。旅行はほとんど行かないんです。	自分も読書好きのインドア派です。
自分も読書好きのインドア派です。	そうですか。どのような本を読むのですか?
そうですか。どのような本を読むのですか?	推理小説や歴史のジャンルが多いです。何かインドアなご趣味はありますか？
推理小説や歴史のジャンルが多いです。何かインドアなご趣味はありますか？	サッカーを見ることです。
サッカーを見ることです。	国内派ですか？海外派ですか？
国内派ですか？海外派ですか？	国内も海外も両方よく見ます。
国内も海外も両方よく見ます。	ご自身でもサッカーをやられたりするんですか？
ご自身でもサッカーをやられたりするんですか？	自分ではやらないですね。スポーツを何かしているのですか?
自分ではやらないですね。スポーツを何かしているのですか?	アメフトをしていましたが昨年ケガをしたので引退をしました。草野球はたまに参加する程度です。
アメフトをしていましたが昨年ケガをしたので引退をしました。草野球はたまに参加する程度です。	アメフトをしていたのはすごいですね。どこを怪我したのですか?
アメフトをしていたのはすごいですね。どこを怪我したのですか?	膝です。靭帯断裂をしてしまったので今もリハビリ中です。
膝です。靭帯断裂をしてしまったので今もリハビリ中です。	靭帯断裂だと6ヶ月以上の怪我ではないですか?
靭帯断裂だと6ヶ月以上の怪我ではないですか?	そうです。お詳しいですね。ご経験か医療関係のお仕事でもされているのですか？
そうです。お詳しいですね。ご経験か医療関係のお仕事でもされているのですか？	いいえ。サッカーでも同じような怪我が多いので知っていました。
いいえ。サッカーでも同じような怪我が多いので知っていました。	サッカーでもありますね。最近、アーセナルのDFの選手が靭帯断裂から復帰されたニュースを見て驚きました。
サッカーでもありますね。最近、アーセナルのDFの選手が靭帯断裂から復帰されたニュースを見て驚きました。	ベジェリンですかね。再発しやすいですし、一度やってしまえば大変みたいですね。
ベジェリンですかね。再発しやすいですし、一度やってしまえば大変みたいですね。	たまたまベジェリンと同じ部位のケガだったので試合復帰でのゴールには勇気づけられました。
今週末の3連休はどう過ごされるんですか？	スキンケアのクリニックをはしごする予定です。
スキンケアのクリニックをはしごする予定です。	リフレッシュのはしご良いですね。
リフレッシュのはしご良いですね。	最近、美白になりたくて色々調べていたのですがニキビ跡や美白にはレーザーがいいみたいです。
最近、美白になりたくて色々調べていたのですがニキビ跡や美白にはレーザーがいいみたいです。	肌荒れの症状を気にしていた知り合いもレーザー治療していました。効果あるみたいですね。
肌荒れの症状を気にしていた知り合いもレーザー治療していました。効果あるみたいですね。	回数を重ねないと効果は出ませんが確実に綺麗になってる気がします。あと、ケアしてるっていう満足感がすごいです！
回数を重ねないと効果は出ませんが確実に綺麗になってる気がします。あと、ケアしてるっていう満足感がすごいです！	自分もそろそろスキンケアを大切にしないといけない年なのですが、なかなかきっかけがなくて。。
自分もそろそろスキンケアを大切にしないといけない年なのですが、なかなかきっかけがなくて。。	気にならなければ痛くもなんともないのでそのままでもすごせますよね！同世代のケア必要そうな人を見かけてはああなりたくないな、みたいな気持ちで始めました！
気にならなければ痛くもなんともないのでそのままでもすごせますよね！同世代のケア必要そうな人を見かけてはああなりたくないな、みたいな気持ちで始めました！	同年代の方でしっかりケアされてる方とされてない方でしっかり差がでてきますよね。自分もそこで気になりはじめてました。
同年代の方でしっかりケアされてる方とされてない方でしっかり差がでてきますよね。自分もそこで気になりはじめてました。	少しお金がかかりますがその分頑張って働いて、人の多い所に出かけていこうという気持ちが起きてる気がします！
少しお金がかかりますがその分頑張って働いて、人の多い所に出かけていこうという気持ちが起きてる気がします！	治療してくれる施設が色々あるんですが病院でされてますか？それとも美容クリニック？
治療してくれる施設が色々あるんですが病院でされてますか？それとも美容クリニック？	2件行っててどちらも美容クリニックです！美容系は保険が効かない所がほとんどです。
2件行っててどちらも美容クリニックです！美容系は保険が効かない所がほとんどです。	自分でお調べになって行く所を決めたんですか？
自分でお調べになって行く所を決めたんですか？	そうです！最近はインスタを観て評判のいいところを探します。あまり安すぎるところは怖いのでソコソコの価格設定で選びます！
そうです！最近はインスタを観て評判のいいところを探します。あまり安すぎるところは怖いのでソコソコの価格設定で選びます！	なるほど。参考になります。ネット検索でもいまいち雰囲気がわからなかったので投げ出したんですが、インスタなら分かりそうですね。
なるほど。参考になります。ネット検索でもいまいち雰囲気がわからなかったので投げ出したんですが、インスタなら分かりそうですね。	はい！ハッシュタグで探すと沢山出て来ます。
はい！ハッシュタグで探すと沢山出て来ます。	施設紹介ももちろんですし、店員さん少しプライベートな部分も投稿されたりしてるみたいなのでインスタの方が雰囲気は掴めそうです。
お休みはどう過ごされるのですか？	休みは大体、一人で山登です。
休みは大体、一人で山登です。	かっこいいですね。一番印象にある山はどこですか？
かっこいいですね。一番印象にある山はどこですか？	九州の祖母山ですね。
九州の祖母山ですね。	たしか大分と宮崎の間ですよね？
たしか大分と宮崎の間ですよね？	そうです、周辺には鉱山があったらしいです。
そうです、周辺には鉱山があったらしいです。	へぇー。私も最近、知り合いの誘いで登山をたまにするので九州にも足をのばしてみたいです。
へぇー。私も最近、知り合いの誘いで登山をたまにするので九州にも足をのばしてみたいです。	くじゅうもいいですよ。
くじゅうもいいですよ。	情報ありがとうございます。やはり景色が良いんでしょうか？
情報ありがとうございます。やはり景色が良いんでしょうか？	いまは紅葉が真っ盛りですね。
いまは紅葉が真っ盛りですね。	ぜひ行ってみたいですね。関西住みなのでこちらはまだちらほらです。
ぜひ行ってみたいですね。関西住みなのでこちらはまだちらほらです。	今年は紅葉が1週間ほど遅れています。
今年は紅葉が1週間ほど遅れています。	そうなんですね。紅葉狩りは山登りついでに色々いかれるんですか？
そうなんですね。紅葉狩りは山登りついでに色々いかれるんですか？	今からは雲仙、霧島、阿蘇、耶馬渓の順番ですね。
今からは雲仙、霧島、阿蘇、耶馬渓の順番ですね。	がっつりですね。九州は明日から天気も悪くなさそうなので気持ちいいでしょうね。
がっつりですね。九州は明日から天気も悪くなさそうなので気持ちいいでしょうね。	それなのに、行事が目白押しでなかなか出かけられないんです。
それなのに、行事が目白押しでなかなか出かけられないんです。	なんともったいないですね。行事とは地域のお祭りとかですか？
こんばんは、よろしくお願いいたします。	こんばんは、最近の興味のあることってなんですか。
こんばんは、最近の興味のあることってなんですか。	最近は、フリマアプリにはまっています。
最近は、フリマアプリにはまっています。	そうなんですね。売る方ですか？買う方ですか？
そうなんですね。売る方ですか？買う方ですか？	どちらもですが、買うほうが多いです。
どちらもですが、買うほうが多いです。	どのアプリが利用しやすいですか？
どのアプリが利用しやすいですか？	やはりメルカリが一番ユーザーが多いので使いやすいです。
やはりメルカリが一番ユーザーが多いので使いやすいです。	やはり、人気なんですね。メルカリ。
やはり、人気なんですね。メルカリ。	安くて良いものが手に入るとうれしいです。
安くて良いものが手に入るとうれしいです。	私もほしかった物が見つかると嬉しいのですが、人気がある分トラブルもあるって聞くと半分はこわいのですよね。
私もほしかった物が見つかると嬉しいのですが、人気がある分トラブルもあるって聞くと半分はこわいのですよね。	私も変なひとにあたってしまってトラブルになったことがあります。
私も変なひとにあたってしまってトラブルになったことがあります。	え！そうなんですか？
え！そうなんですか？	壊れたものが送られてきてしまいました。
壊れたものが送られてきてしまいました。	そ、それは、ショック！ですね。
そ、それは、ショック！ですね。	お買い物はどんなお店でされていますか？
お買い物はどんなお店でされていますか？	アプリでですか？
アプリでですか？	はい。アプリやインターネットなどで。
はい。アプリやインターネットなどで。	そうですね。必要な物は、ネットならあ〇〇〇、アプリならメルカリが多いですね。
そうですね。必要な物は、ネットならあ〇〇〇、アプリならメルカリが多いですね。	便利になりましたよね。
よろしくお願いいたします。	こんにちは。宜しくお願いします。
こんにちは。宜しくお願いします。	最近何か興味のある事や気になってることってありますか？
最近何か興味のある事や気になってることってありますか？	そうですね。筋トレですかね。
そうですね。筋トレですかね。	筋トレですか、ジムとか通われてるのですか？
筋トレですか、ジムとか通われてるのですか？	いいえ。家でYOUTUBEの動画を観ながらですよ。効果抜群です。
いいえ。家でYOUTUBEの動画を観ながらですよ。効果抜群です。	なるほど、今は動画でいろんな筋トレがあるようですね。
なるほど、今は動画でいろんな筋トレがあるようですね。	スクワットをメインにしてます。元々ジョギングしてたんですが、足を痛めてしまって。筋トレにシフトしました。
スクワットをメインにしてます。元々ジョギングしてたんですが、足を痛めてしまって。筋トレにシフトしました。	そうでしたか。走らなくても筋肉は鍛えられますものね。この前、ふくらはぎから「バチッ」と音がしてしばらく痛みがつづきました。
そうでしたか。走らなくても筋肉は鍛えられますものね。この前、ふくらはぎから「バチッ」と音がしてしばらく痛みがつづきました。	肉離れになるかもしれないので、ご注意ですね。小糸さんは何かはまっているものありますか？
肉離れになるかもしれないので、ご注意ですね。小糸さんは何かはまっているものありますか？	あ、これ肉離れの前触れですかね。私は、最近はレース編みにはまってます。
あ、これ肉離れの前触れですかね。私は、最近はレース編みにはまってます。	コースターとか作ってるんですか？それとも、カーディガンとかですか？
コースターとか作ってるんですか？それとも、カーディガンとかですか？	いえいえ、最大サイズでもコースターくらいです。アクセサリー用なので、小さいですよ。
いえいえ、最大サイズでもコースターくらいです。アクセサリー用なので、小さいですよ。	デザインとかするのって楽しいでしょうね。
デザインとかするのって楽しいでしょうね。	はい、楽しさと苦しさとありますが、やめられないので楽しさの方が上回ってると思います。
はい、楽しさと苦しさとありますが、やめられないので楽しさの方が上回ってると思います。	良かったですね。それで、長くやっているのですか？
良かったですね。それで、長くやっているのですか？	去年くらいからですね。飽き性なので、いつまで続くかわかりませんが。
去年くらいからですね。飽き性なので、いつまで続くかわかりませんが。	続くといいですね。良い趣味なんで。
よろしくお願い致します。	よろしくお願いします。
よろしくお願いします。	最近の興味のあることって何かありますか？
最近の興味のあることって何かありますか？	今さっと出てこないです。そちらさんは何かありますか？
今さっと出てこないです。そちらさんは何かありますか？	私は、ハンドメイドでレース編みをしています。
私は、ハンドメイドでレース編みをしています。	編み物ですか！小さい頃にちょっとだけやったことがあります。
編み物ですか！小さい頃にちょっとだけやったことがあります。	私は子供の頃に、毛糸でかぎ編みしたことあったのですがイライラして出来なかったのです。
私は子供の頃に、毛糸でかぎ編みしたことあったのですがイライラして出来なかったのです。	母が編み物の棒？やかぎ針を持ってまして、それで棒編みを。初めてのマフラーは幅が全然揃ってなかったです。
母が編み物の棒？やかぎ針を持ってまして、それで棒編みを。初めてのマフラーは幅が全然揃ってなかったです。	そうですよね。私もマフラー編みしてガタガタになりました。
そうですよね。私もマフラー編みしてガタガタになりました。	ちょうどこの前TVでかぎ編み講座みたいなのを見たのを思い出しました。セーターを作ってました。
ちょうどこの前TVでかぎ編み講座みたいなのを見たのを思い出しました。セーターを作ってました。	そうなんですね。私がレース編みをしてるのは、小物が作れるタイプ「タティングレース」といいます。
そうなんですね。私がレース編みをしてるのは、小物が作れるタイプ「タティングレース」といいます。	タティングレース調べてみました。花柄みたいで可愛いですね！
タティングレース調べてみました。花柄みたいで可愛いですね！	それです。「シャトル」という専用の編み器を使うのですが、コンパクトでよいです。
それです。「シャトル」という専用の編み器を使うのですが、コンパクトでよいです。	すっごい細かな作業なんですね…
すっごい細かな作業なんですね…	いえいえ、糸は細い～太いものもあるので初心者にもできますよ。
いえいえ、糸は細い～太いものもあるので初心者にもできますよ。	作り方とかいろいろ見てたのですが、なんかすごい、の一言です。多分自分には出来ない。
作り方とかいろいろ見てたのですが、なんかすごい、の一言です。多分自分には出来ない。	そうですか？私も器用さでいうと普通なので、また興味がでれば動画がおすすめです。
そうですか？私も器用さでいうと普通なので、また興味がでれば動画がおすすめです。	動画は良いですよね。本やテキストだとわからない部分もそれこそ一目瞭然ですね。
よろしくお願い致します。	よろしくお願いします。最近だんだんと寒くなってきましたね。
よろしくお願いします。最近だんだんと寒くなってきましたね。	そうですよね。もう冬って感じがします。
そうですよね。もう冬って感じがします。	年々、秋が短くなっているような気がしませんか？
年々、秋が短くなっているような気がしませんか？	わかります。
わかります。	私は春や秋の丁度良い気候が好きなので、少し寂しいですね。
私は春や秋の丁度良い気候が好きなので、少し寂しいですね。	同感です。夏や冬が短くて、春や秋が長くなればいいと思います。
同感です。夏や冬が短くて、春や秋が長くなればいいと思います。	そうですよね、夏や冬には楽しみもありますが、やはり厳しい気候が辛いです。
そうですよね、夏や冬には楽しみもありますが、やはり厳しい気候が辛いです。	今年の冬ファッションは何が流行っているのでしょうか？小物などあれば教えていただけますか？
今年の冬ファッションは何が流行っているのでしょうか？小物などあれば教えていただけますか？	すみません、ファッションには疎くて。見た目よりも性能重視で温かさを求めてしまいます。
すみません、ファッションには疎くて。見た目よりも性能重視で温かさを求めてしまいます。	そうですよね。機能大切です。しまむらには安くてデザインのいい物があってよく行きます。
そうですよね。機能大切です。しまむらには安くてデザインのいい物があってよく行きます。	しまむら！たくさんの服の中から良いものを掘り出すのが楽しいですよね。
しまむら！たくさんの服の中から良いものを掘り出すのが楽しいですよね。	はい！イオンよりしまむら派です。
はい！イオンよりしまむら派です。	洋服も良いですが、クッションなどの雑貨類も可愛いのが多くて好きです。
洋服も良いですが、クッションなどの雑貨類も可愛いのが多くて好きです。	わかります！雑貨類も豊富ですよね。
わかります！雑貨類も豊富ですよね。	すごく安いので、使わないものまで色々購入してしまいそうになりますよ。
すごく安いので、使わないものまで色々購入してしまいそうになりますよ。	ちょっと見るだけとお店に入ったら、何か買ってしまってるのですよね。100円ショップとかも。
ちょっと見るだけとお店に入ったら、何か買ってしまってるのですよね。100円ショップとかも。	100円ショップは行くと必ず何か買ってしまいますね、危険です。
100円ショップは行くと必ず何か買ってしまいますね、危険です。	危険区域に指定しましょう。
危険区域に指定しましょう。	あぁでも今そんな会話をしたので100円ショップとしまむらに行きたくなっている！
よろしくお願い致します。	こんにちは。今日の朝ごはんは何を食べました？
こんにちは。今日の朝ごはんは何を食べました？	朝は、食パンにマヨネーズ+ハムとコーヒーでした。
朝は、食パンにマヨネーズ+ハムとコーヒーでした。	私もだいたい同じです。コーヒー美味しくて好きです。
私もだいたい同じです。コーヒー美味しくて好きです。	私もコーヒー好きで、ほぼ毎日飲んでます。
私もコーヒー好きで、ほぼ毎日飲んでます。	お仕事中も飲みますか？
お仕事中も飲みますか？	いえ、仕事中は飲みません。
いえ、仕事中は飲みません。	そうなんですね。私はどうしても沢山飲んでしまいます。
そうなんですね。私はどうしても沢山飲んでしまいます。	家でしか飲まないのですが、つい飲み過ぎて胃がわるくなるパターンです。
家でしか飲まないのですが、つい飲み過ぎて胃がわるくなるパターンです。	コーヒーの飲みすぎはあまり良くないと、聞いたことがあります。
コーヒーの飲みすぎはあまり良くないと、聞いたことがあります。	そうですよね。普通量なら良いと聞きます。
そうですよね。普通量なら良いと聞きます。	そうですよね。とは言え、美味しいとつい飲みすぎてしまいます。
そうですよね。とは言え、美味しいとつい飲みすぎてしまいます。	口に合うかわかりませんが、ドリップタイプのUCCの職人のコーヒーがおいしいです。
口に合うかわかりませんが、ドリップタイプのUCCの職人のコーヒーがおいしいです。	美味しそうですね。今度お店で探してみます！
美味しそうですね。今度お店で探してみます！	スーパーかドラッグストアに置いてると思います。コーヒーはブラックですか？
スーパーかドラッグストアに置いてると思います。コーヒーはブラックですか？	ブラック派です。お砂糖、ミルクは入れる派ですか？
ブラック派です。お砂糖、ミルクは入れる派ですか？	私もブラック派です。普段はドリップですが、粉でいれるコーヒーは飲みますか？
今週末の予定はありますか？	そうですね。イベントがあるので行きたいのですが、少し遠くて躊躇してます。
そうですね。イベントがあるので行きたいのですが、少し遠くて躊躇してます。	なんのイベントですか？
なんのイベントですか？	ワークショップです。
ワークショップです。	遠いいとはどれくらいですか？何時間もかかる感じですか？
遠いいとはどれくらいですか？何時間もかかる感じですか？	そうですね。車で4時間くらいでしょうか。
そうですね。車で4時間くらいでしょうか。	それはちょっと遠いですね！私なら泊まりとかを考えちゃうかも。
それはちょっと遠いですね！私なら泊まりとかを考えちゃうかも。	ですよね。楽しむ前に疲れてしまいそうです。今週末の予定があれば教えてください。
ですよね。楽しむ前に疲れてしまいそうです。今週末の予定があれば教えてください。	特にはないですね。本当はオーケストラのコンサートに行きたかったのですが、チケットが取れなくて。
特にはないですね。本当はオーケストラのコンサートに行きたかったのですが、チケットが取れなくて。	コンサートですか。いいですね。人気のあるものだと何か月も前から予約するのですよね。
コンサートですか。いいですね。人気のあるものだと何か月も前から予約するのですよね。	発売と同時に予約しようとしたのですが、すでに売り切れで。
発売と同時に予約しようとしたのですが、すでに売り切れで。	え！そうなんですか。
え！そうなんですか。	本当、なんだか疑いたくなりますよ。なので行こうと思ってたメンバーと食事をする予定です。
本当、なんだか疑いたくなりますよ。なので行こうと思ってたメンバーと食事をする予定です。	さすがに、急に売り切れは疑いたくなりますね。そうですか、お食事もいいですね。
さすがに、急に売り切れは疑いたくなりますね。そうですか、お食事もいいですね。	個室が４部屋しかないという創作料理屋さんなので、楽しみです。
個室が４部屋しかないという創作料理屋さんなので、楽しみです。	いいですね。創作料理ってメニューがちょっとかわったりしていて楽しめますね。羨ましいです。
いいですね。創作料理ってメニューがちょっとかわったりしていて楽しめますね。羨ましいです。	あとはシミ取りケアに行くくらいです。今週末はのんびりしたいです。
よろしくお願いします。	こんばんは、よろしくお願い致します。
こんばんは、よろしくお願い致します。	趣味や最近気になっていることはありますか？
趣味や最近気になっていることはありますか？	趣味はハンドメイドしています。気になっていることは、原付2種免許がとりたいです。
趣味はハンドメイドしています。気になっていることは、原付2種免許がとりたいです。	バイク良いですね、私は80ｃｃのカブに乗っています。
バイク良いですね、私は80ｃｃのカブに乗っています。	カブは人気があるのですよね。
カブは人気があるのですよね。	二種になると二段階右折とかスピード気にする必要はないですよね、何か乗りたいバイクとかあるんですか？
二種になると二段階右折とかスピード気にする必要はないですよね、何か乗りたいバイクとかあるんですか？	いえ、特にはないです。第一条件は足が地面に届くことが大事なので。
いえ、特にはないです。第一条件は足が地面に届くことが大事なので。	足つきは大事ですね、ハンドメイドは出品とかしてるんですか？
足つきは大事ですね、ハンドメイドは出品とかしてるんですか？	ハンドメイドは、ほそぼそと出品しています。
ハンドメイドは、ほそぼそと出品しています。	私もユザワヤとか行くの好きです。
私もユザワヤとか行くの好きです。	そうなんですね。ハンドメイドされるのですか？
そうなんですね。ハンドメイドされるのですか？	そこまで出来ませんが、パンツの裾直しとか、色褪せたカバンなどは染め直したりします。
そこまで出来ませんが、パンツの裾直しとか、色褪せたカバンなどは染め直したりします。	え！すごい本格的ですね。
え！すごい本格的ですね。	新しいミシンが欲しいのですが、値段が値段ですので迷っています。最近何か欲しいものはありますか
新しいミシンが欲しいのですが、値段が値段ですので迷っています。最近何か欲しいものはありますか	ミシン高いですよね。欲しい物は、今は思い浮かばないです。
ミシン高いですよね。欲しい物は、今は思い浮かばないです。	最近購入した一番高い買い物は何かありますか？
最近購入した一番高い買い物は何かありますか？	スマホのソーラー充電器ですかね。〇千円くらいですが。
スマホのソーラー充電器ですかね。〇千円くらいですが。	災害時にも役立ちそうですね
今日は風が強くてだいぶ寒く感じますね。	こんばんは、そうですね。寒くなりましたね。
こんばんは、そうですね。寒くなりましたね。	今までが暖かすぎたんでしょうけど、ようやく冬が近づいたって感じですね。
今までが暖かすぎたんでしょうけど、ようやく冬が近づいたって感じですね。	はい、秋なのに暖かかったですよね。急に寒くなって冬を実感します。
はい、秋なのに暖かかったですよね。急に寒くなって冬を実感します。	冬は好きですか？
冬は好きですか？	はい、夏よりは。
はい、夏よりは。	最近の夏の暑さは異常ですもんね！冬のどんなとこが好きですか？
最近の夏の暑さは異常ですもんね！冬のどんなとこが好きですか？	そうですね。冬と言えば、重ね着ができるので体形が隠せるところでしょうか。あと鍋がおいしいです。
そうですね。冬と言えば、重ね着ができるので体形が隠せるところでしょうか。あと鍋がおいしいです。	鍋！いいですよね！野菜もお肉もいっぱい食べられて。私は最近もつ鍋風の味付けが好きです。何鍋が好きですか？
鍋！いいですよね！野菜もお肉もいっぱい食べられて。私は最近もつ鍋風の味付けが好きです。何鍋が好きですか？	普通の水炊きですね。時々鳥団子、鶏肉。。。鳥ばっかり。
普通の水炊きですね。時々鳥団子、鶏肉。。。鳥ばっかり。	我が家も鶏肉の出番多いです！水炊きは、骨つき肉使いますか？
我が家も鶏肉の出番多いです！水炊きは、骨つき肉使いますか？	いえ、骨なしです。
いえ、骨なしです。	我が家もです。きっと骨つきを使ったら本格的な出汁が出そうだなと思いつつ、下処理が面倒くさくて。
我が家もです。きっと骨つきを使ったら本格的な出汁が出そうだなと思いつつ、下処理が面倒くさくて。	ですよね。骨付きの方がおいしそうですが、食べにくさもあると思います。
ですよね。骨付きの方がおいしそうですが、食べにくさもあると思います。	そうなんですよ！手がベタベタになりますよね。柚子胡椒つけますか？
そうなんですよ！手がベタベタになりますよね。柚子胡椒つけますか？	ゆずポン酢をつかっているので、ゆずは好きですが、柚子胡椒はつかったことありません。おいしいですか？
ゆずポン酢をつかっているので、ゆずは好きですが、柚子胡椒はつかったことありません。おいしいですか？	オススメですよ！チューブので十分おいしいです！
オススメですよ！チューブので十分おいしいです！	チューブタイプがあるのですね。今度探してみます。ありがとうございます。
こんばんは、よろしくお願い致します。	よろしくお願いします。
よろしくお願いします。	夜遅いですけど、夜型ですか？
夜遅いですけど、夜型ですか？	はい。完全な夜型生活です。
はい。完全な夜型生活です。	そうなんですね。私はいつも寝てるか、動画をちらりと見て寝る感じです。
そうなんですね。私はいつも寝てるか、動画をちらりと見て寝る感じです。	私も動画を観たり、パソコンを触ったりですね。
私も動画を観たり、パソコンを触ったりですね。	夜って静かで、何かと集中できたりしますよね。
夜って静かで、何かと集中できたりしますよね。	そうですね。仕事や勉強には向いていると思います。
そうですね。仕事や勉強には向いていると思います。	あ、それで夜型なんですね。私が起きてるときは、ストレス解消で動画みたり、アプリでゲームしたり、まんが読んだりしてるときなので。
